form	reading_text	CB	IJ	SP
reconnu que	3. M. [E] a reconnu que ce mandat s'appliquait bien à sa personne, mais n'a pas consenti à sa remise aux autorités italiennes.	1	1	1
reconnu que	Ces seuls documents ont révélé une minoration des heures effectivement travaillées, confirmée par une analyse opérée le 19 juillet 2007 avec l'inspection du travail des transports, et admise par les capitaines des bateaux qui ont reconnu que n'étaient pas comptabilisées toutes les heures supplémentaires.	1	1	1
regretté que	Le lien est donc établi entre l'argent en provenance de Suisse et la somme versée sur le compte Crédit du Nord de l'AFICEB ; - que les faits de détournements de fonds publics, visés au réquisitoire introductif, ne sont pas établis, ni à l'égard des deux mis en examen, ni à celui de toute autre personne ressortissant de la compétence de la Cour de justice de la République. - qu'il ne peut qu'être, enfin, regretté que des pièces essentielles n'aient pu être retrouvées, notamment les agendas du premier ministre pour les années 1993 à 1995, l'agenda de M. NS... pour 1995, ou que d'autres n'aient pu être obtenues, car toujours couvertes par le secret.	1	1	1
savoir que	que les acquéreurs n'étaient pas censés savoir que les suspensions de délais de livraison invoquées par la SCI Les Gaudinelles elle-même, qu'elle a notifiées aux acquéreurs, étaient dénuées de toute valeur et que ceux-ci ne devaient pas les croire ;	1	1	1
calcule d'	Cette indemnité se calcule d'après la valeur des objets donnés ou légués à l'époque du partage, et leur état au jour où la libéralité a pris effet... » ;	0	0	0
calculer l'indemnité conventionnelle de	4. La salariée fait grief à l'arrêt de la débouter de sa demande en paiement d'une certaine somme à titre d'heures supplémentaires pour la période non prescrite de juin 2011 à décembre 2015, outre les congés payés afférents, de limiter la condamnation de l'employeur en paiement d'heures supplémentaires outre les congés payés afférents et pour la seule période du 16 décembre 2012 à fin novembre 2013, et en conséquence de fixer le salaire moyen à la somme de 3 943,33 euros et calculer l'indemnité conventionnelle de licenciement, l'indemnité compensatrice de préavis et les congés payés afférents, le rappel de salaire au titre de la mise à pied et les congés payés afférents, l'indemnité pour licenciement sans cause réelle et sérieuse sur la base de ce salaire minoré, alors « que par application combinée des articles L. 3245-1 du code du travail et des dispositions transitoires de l'article 21 V de la loi n° 2013-504 du 14 juin 2013, la prescription quinquennale reste applicable à l'action en paiement du salaire dès lors qu'elle a commencé à courir avant le 16 juin 2013, date d'entrée en vigueur de cette loi qui a réduit sa durée à trois ans et que l'action a été introduite dans le délai de trois ans à compter de cette date, soit jusqu'au 16 juin 2016 ;	0	0	0
calculer l'éventuelle indemnité de	qu'il y a donc bien lieu d'évaluer les biens de [...] et de [...] à la date du partage aux fins de calculer l'éventuelle indemnité de réduction ; »	0	0	0
calculer la portion excessive de	qu'il convient donc de calculer la portion excessive de la libéralité ou portion réductible en valeur décès et la réévaluer en valeur partage, pour obtenir l'indemnité de réduction ;	0	0	0
calculé l'indemnité conventionnelle de	à la somme de 4.260,08 euros à titre d'heures supplémentaires outre les congés payés afférents et pour la seule période du 16 décembre 2012 à fin novembre 2013, et d'AVOIR en conséquence fixé le salaire moyen à la somme de 3.943,33 euros et calculé l'indemnité conventionnelle de licenciement, l'indemnité compensatrice de préavis et les congés payés afférents, le rappel de salaire au titre de la mise à pied et les congés payés afférents, l'indemnité pour licenciement sans cause réelle et sérieuse sur la base de ce salaire minoré ;	0	0	0
calculés au taux légal à compter du	au paiement d'une somme égale au montant total du loyer et des charges normalement exigibles à titre d'indemnité d'occupation comprenant l'augmentation régulièrement notifiée à compter du 7 avril 2012 jusqu'à libération effective des lieux, condamné Mme W... à payer à la société Anagui les sommes de 5.804,45 euros arrêtée au 20 septembre 2017 au titre des loyers et charges impayés et de l'indemnité d'occupation échus à cette date, avec intérêts calculés au taux légal à compter du commandement de payer du 7 mars 2012 sur la somme de 1.878,43 euros, et à compter du 22 septembre 2017 pour le surplus jusqu'à parfait paiement, et la somme de 580,44 euros au titre de la clause pénale ;	0	0	0
calculés au taux légal à compter du	au paiement d'une somme égale au montant total du loyer et des charges normalement exigibles à titre d'indemnité d'occupation, comprenant l'augmentation régulièrement notifiée à compter du 7 avril 2012 jusqu'à libération effective des lieux, condamné Mme W... à payer à la société Anagui les sommes de 5.804,45 euros arrêtée au 20 septembre 2017 au titre des loyers et charges impayés et de l'indemnité d'occupation échus à cette date, avec intérêts calculés au taux légal à compter du commandement de payer du 7 mars 2012 sur la somme de 1.878,43 euros, et à compter du 22 septembre 2017 pour le surplus jusqu'à parfait paiement, et la somme de 580,44 euros au titre de la clause pénale ;	0	0	0
calculés conformément au contrat unique de	Les situations suivies d'autofacturation mensuelles ne sont pas des contrats mais correspondent aux paiements mensuels calculés conformément au contrat unique de marché de travaux, au prix fixé au contrat, au planning d'exécution et aux plans du chantier.	0	0	0
comprenait pour chacun d'	qu'il résultait du règlement de copropriété, à l'article II-4 : DÉSIGNATION DES LOTS, que la désignation des lots comprenait pour chacun d'eux : - l'indication des parties privatives réservées à la jouissance exclusive et particulière de son propriétaire, - une quote-part exprimée en dix-millièmes, dans la propriété du sol indivis et des parties communes générales ;	0	0	0
comprenant l'augmentation régulièrement notifiée à compter	au paiement d'une somme égale au montant total du loyer et des charges normalement exigibles à titre d'indemnité d'occupation comprenant l'augmentation régulièrement notifiée à compter du 7 avril 2012 jusqu'à libération effective des lieux, condamné Mme W... à payer à la société Anagui les sommes de 5.804,45 euros arrêtée au 20 septembre 2017 au titre des loyers et charges impayés et de l'indemnité d'occupation échus à cette date, avec intérêts calculés au taux légal à compter du commandement de payer du 7 mars 2012 sur la somme de 1.878,43 euros, et à compter du 22 septembre 2017 pour le surplus jusqu'à parfait paiement, et la somme de 580,44 euros au titre de la clause pénale ;	0	0	0
comprenant l'augmentation régulièrement notifiée à compter	au paiement d'une somme égale au montant total du loyer et des charges normalement exigibles à titre d'indemnité d'occupation, comprenant l'augmentation régulièrement notifiée à compter du 7 avril 2012 jusqu'à libération effective des lieux, condamné Mme W... à payer à la société Anagui les sommes de 5.804,45 euros arrêtée au 20 septembre 2017 au titre des loyers et charges impayés et de l'indemnité d'occupation échus à cette date, avec intérêts calculés au taux légal à compter du commandement de payer du 7 mars 2012 sur la somme de 1.878,43 euros, et à compter du 22 septembre 2017 pour le surplus jusqu'à parfait paiement, et la somme de 580,44 euros au titre de la clause pénale ;	0	0	0
comprenant les frais d'	La société Suez Eau France sera condamnée, outre aux entiers dépens de première instance, comprenant les frais d'expertise, et d'appel, à payer à la SELARL MP Associés, ès qualités, la somme de 3 000 € en application de l'article 700 du code de procédure civile » ;	0	0	0
comprenant notamment la prise en charge des	qu'ainsi l'exposant démontrait que la société Calvi Marine avait manqué à son obligation de mettre tout en oeuvre pour commercialiser le bateau, obligation à laquelle elle s'était engagée au titre de l'article II du contrat d'exploitation et comprenant notamment la prise en charge des outils de communication et des actions de promotion commerciale ;	0	0	0
comprend ( ) le produit du	qu'à cet égard, l'article D. 242-6-6, 2°, du code de la sécurité sociale énonce que « la valeur du risque ( ) comprend ( ) le produit du nombre total d'accidents du travail ou de maladies professionnelles ayant, pendant la période triennale de référence, soit entraîné le décès de fa victime, soit donné lieu à la notification d'un taux d'incapacité permanente ( ) » ;	0	0	0
comprend notamment la valeur marchande du	que l'indemnité comprend notamment la valeur marchande du fonds de commerce déterminé selon les usages de la profession augmenté éventuellement des frais normaux de déménagement et de réinstallation, ainsi que des frais et droits de mutation pour un fonds de commerce de même valeur ;	0	0	0
comprend, notamment, le produit du	, QUE la valeur du risque pour le calcul du taux brut individuel des cotisations d'accidents du travail et de maladies professionnelles comprend, notamment, le produit du nombre total d'accidents du travail ou de maladies professionnelles ayant, pendant la période triennale de référence, soit entraîné le décès de la victime, soit donné lieu à la notification d'un taux d'incapacité permanente, par le coût moyen de la catégorie dans laquelle est rattaché chaque accident ou chaque maladie ;	0	0	0
comprend, notamment, le produit du	3. Selon le second de ces textes, la valeur du risque telle que mentionnée au premier pour le calcul du taux brut individuel des cotisations d'accidents du travail comprend, notamment, le produit du nombre total d'accidents du travail ou de maladies professionnelles ayant, pendant la période triennale de référence, soit entraîné le décès de la victime, soit donné lieu à la notification d'un taux d'incapacité permanente, par le coût moyen de la catégorie dans laquelle est rattaché chaque accident ou maladie.	0	0	0
comprend, notamment, le produit du	L'employeur fait grief à l'arrêt de le débouter de son recours, alors « que la valeur du risque pour le calcul du taux brut individuel des cotisations d'accidents du travail et de maladies professionnelles comprend, notamment, le produit du nombre total d'accidents du travail ou de maladies professionnelles ayant, pendant la période triennale de référence, soit entraîné le décès de la victime, soit donné lieu à la notification d'un taux d'incapacité permanente, par le coût moyen de la catégorie dans laquelle est rattaché chaque accident ou chaque maladie ;	0	0	0
comprendre le secrétariat juridique de	que le courrier que la SCP U... a adressé le 24 octobre 2003 au président de l'AFUL du [...] (non constituée à cette date), ne peut être analysé comme une lettre de mission mais avait pour objet de définir les contours de sa mission qui devait comprendre le secrétariat juridique de l'AFUL (rédaction des statuts, convocations aux assemblées générales, appels de fonds et tenue des comptes...) mais aussi l'assistance des membres de l'AFUL dans l'établissements des documents fiscaux nécessaires à la bonne conduite de l'opération ;	0	0	0
découvertes au siège de	que les fiches de paye de deux d'entre elles, salariées, l'une de 1996 à 1997 à Tourgeville, l'autre en 1997 et 1998 à Paris au profit d'un fils des époux R..., toutes deux payées en espèces par ces derniers, ont été découvertes au siège de l'APR (D2224 et 3266) ;	0	0	0
reconnaissant à ce dernier le statut de	qu'il ressort des éléments du dossier que la société Electronique Occitane a été rémunérée par la société SFR, en vertu du contrat de distribution signé entre elles, pour des prestations qui ont justifié par ailleurs les salaires et primes perçues par Monsieur E... H... en exécution de l'arrêt rendu par la cour d'appel de Paris le 25 septembre 2012, reconnaissant à ce dernier le statut de gérant de succursale ;	0	0	0
reconnaîtrait le statut de	que Monsieur H..., en sa qualité de gérant et d'actionnaire important d'Occitane, ne pouvait ignorer les conséquences financières d'une procédure de requalification qui lui reconnaîtrait le statut de gérant de succursale SFR, alors même qu'il avait été rémunéré pour ses fonctions de gérant au sein d'Occitane ;	0	0	0
reconnaître, au titre d'	Au demeurant, il serait contradictoire de leur reconnaître, au titre d'un droit effectif à un juge, la possibilité de former tierce opposition à un jugement rendu à l'encontre de la Sci Xamaline qui n'était donc pas censée les représenter, et, dans le même temps, de les déclarer prescrits en leur action en nullité au motif que le délai de prescription doit courir à compter des actes de prêt contestés auxquels, par hypothèse, ils n'ont pas participé.	0	0	0
reconnu au dirigeant de	Lorsqu'un fournisseur a conclu avec une personne morale un contrat pour la distribution de ses produits et que le statut de gérant de succursale est reconnu au dirigeant de cette personne, le fournisseur, condamné à payer à ce dernier les sommes qui lui étaient dues en application de ce statut d'ordre public, auquel il ne peut être porté atteinte, même indirectement, n'est pas admis à réclamer à la personne morale, fût-ce pour partie, le reversement des sommes ayant rémunéré les prestations qu'elle a effectuées en exécution du contrat de distribution.	0	0	0
reconnu le statut de	11. Pour condamner la société Electronique occitane à payer à la société SFR des dommages-intérêts correspondant aux rappels de salaires et congés payés versés par cette dernière à M. H..., outre les charges patronales, en exécution de l'arrêt rendu le 25 septembre 2012 lui ayant reconnu le statut de gérant de succursale, l'arrêt retient que la société SFR a ainsi dû payer deux fois les mêmes prestations et que si la société Electronique occitane avait exécuté l'ensemble des obligations qui lui revenaient, le statut de gérant de succursale n'aurait pas été reconnu à son gérant et la société SFR n'aurait pas été condamnée au paiement de ces sommes.	0	0	0
reconnu le statut de	qu'en affirmant, pour condamner la société Electronique Occitane à indemniser la société SFR du montant des rappels de salaires, congés payés et charges patronales que celle-ci avait été personnellement condamnée à payer à son gérant, M. H..., en exécution de la décision de justice irrévocable lui ayant reconnu le statut de gérant de succursale, que « si Occitane avait exécuté l'ensemble des obligations qui lui revenaient, les hautes juridictions n'auraient pas reconnu à son gérant le statut de gérant de succursale et n'auraient pas condamné SFR », sans rechercher si la société SFR n'était pas seule à l'origine du montage ayant justifié l'application du statut de gérant de succursale, la cour d'appel a privé sa décision de base légale au regard de l'article 1147 du code civil dans sa version antérieure à l'ordonnance n° 2016-131 du 10 février 2016 ;	0	0	0
reconnu le statut de	qu'en se bornant à retenir, pour condamner la société Electronique Occitane à indemniser la société SFR du montant des rappels de salaires, congés payés et charges patronales que celle-ci avait été personnellement condamnée à payer à son gérant, M. H..., en exécution de la décision de justice irrévocable lui ayant reconnu le statut de gérant de succursale, que la société SFR avait ainsi dû payer deux fois les mêmes prestations, sans constater que la reconnaissance de ce statut et la condamnation prononcée sur ce fondement aurait résulté d'un manquement imputable à l'exposante, la cour d'appel a privé sa décision de base légale au regard de l'article 1147 du code civil dans sa version antérieure à l'ordonnance n° 2016-131 du 10 février 2016 ;	0	0	0
reconnu à son gérant le statut de	qu'en affirmant, pour condamner la société Electronique Occitane à indemniser la société SFR du montant des rappels de salaires, congés payés et charges patronales que celle-ci avait été personnellement condamnée à payer à son gérant, M. H..., en exécution de la décision de justice irrévocable lui ayant reconnu le statut de gérant de succursale, que « si Occitane avait exécuté l'ensemble des obligations qui lui revenaient, les hautes juridictions n'auraient pas reconnu à son gérant le statut de gérant de succursale et n'auraient pas condamné SFR », sans rechercher si la société SFR n'était pas seule à l'origine du montage ayant justifié l'application du statut de gérant de succursale, la cour d'appel a privé sa décision de base légale au regard de l'article 1147 du code civil dans sa version antérieure à l'ordonnance n° 2016-131 du 10 février 2016 ;	0	0	0
reconnu à son gérant le statut de	qu'en retenant par motifs adoptés, que « si Occitane avait exécuté l'ensemble des obligations qui lui revenaient, les hautes juridictions n'auraient pas reconnu à son gérant le statut de gérant de succursale et n'auraient pas condamné SFR » (jugement, p. 9, al.	0	0	0
reconnu à son gérant le statut de	qu'en retenant que « si Occitane avait exécuté l'ensemble des obligations qui lui revenaient, les hautes juridictions n'auraient pas reconnu à son gérant le statut de gérant de succursale et n'auraient pas condamné SFR », quand la seule faute qui lui était reprochée par la société SFR était d'avoir confié à M. H..., son gérant, l'exécution des prestations mises à sa charge par les contrats de distribution conclus par les parties, la cour d'appel, qui n'a pas caractérisé l'existence d'une faute imputable à l'exposante, a privé sa décision de base légale au regard de l'article 1147 du code civil, dans sa version antérieure à l'ordonnance n° 2016-131 du 10 février	0	0	0
reconnu à son gérant le statut de	qu'il n'est pas contestable que si Occitane avait exécuté l'ensemble des obligations qui lui revenaient, les hautes juridictions n'auraient pas reconnu à son gérant le statut de gérant de succursale et n'auraient pas condamné SFR ;	0	0	0
reconnue la responsabilité de	/ La Crcam du Languedoc ne peut soutenir que les associés, qui étaient censés avoir autorisé la Sci à demander que soit reconnue la responsabilité de la banque en raison des fautes commises par son préposé, étaient nécessairement représentés à cette précédente instance ou à celle engagée devant le tribunal de grande instance de Nîmes, alors que les statuts de la société prévoient expressément que le gérant, dans ses rapports avec les associés, a le pouvoir de représenter la société en justice et d'exercer toutes actions tant en demande qu'en défense, ce qui implique qu'il n'était pas tenu de solliciter une autorisation spéciale des associés.	0	0	0
reconnue valable par la cour d'	Toute citation, notification ou signification faite à la dernière adresse déclarée est réputée l'être à sa personne et le prévenu qui Page 3 / 6 ne comparaît pas à l'audience sans excuse reconnue valable par la cour d'appel est jugé par arrêt contradictoire à signifier.	0	0	0
reconnues par le jugement du	qu'en énonçant, dès lors, pour déclarer les consorts J... recevables en leur tierce-opposition à l'encontre de l'arrêt de la cour d'appel de Bourges en date du 24 mars 2011 et pour, en conséquence, réformer, à l'égard des consorts J..., le jugement du tribunal de grande instance de Châteauroux en date du 29 juin 2010, dire que les contrats de prêt souscrits par la SCI Xamaline auprès de la société Caisse régionale de crédit agricole mutuel du Languedoc, les 27 mars 2007 et 24 avril 2007 étaient nuls pour non-conformité à l'objet social et débouter la banque de toutes ses demandes en paiement fondées sur ces deux contrats de prêt, que c'était en vain que la société Caisse régionale de crédit agricole mutuel du Languedoc prétendait qu'à défaut pour les consorts J... d'avoir exercé un recours à l'encontre de l'état des créances de la procédure de liquidation judiciaire de la SCI Xamaline dans le délai d'un mois à compter de sa publication au BODACC le 28 février 2015, les créances en litige avaient acquis l'autorité de la chose jugée Page 3 / 10 à l'égard de tous et que les consorts J... étaient irrecevables à former toute nouvelle contestation portant sur l'existence, la nature ou le quantum des créances ainsi admises définitivement, qu'en effet, l'admission définitive des créances de la banque, dans le cadre et pour les besoins de la liquidation judiciaire de la SCI Xamaline, n'interdisait nullement aux associés, qui n'étaient ni plus ni moins parties à cette procédure collective qu'à l'instance précédente devant la cour d'appel de Bourges, d'exercer devant un juge le recours effectif reconnu par l'article 6, §1, de la Convention européenne de sauvegarde des droits de l'homme et des libertés fondamentales et qu'au demeurant, l'examen du bordereau de déclaration de créances montrait que la banque n'avait pas déclaré d'autre créance que celles résultant précisément du jugement du tribunal de grande instance de Châteauroux en date du 29 juin 2010, confirmé par l'arrêt de la cour d'appel de Bourges en date du 24 mars 2011, qui était déjà définitive à la suite du rejet du pourvoi en cassation formé contre cet arrêt le 28 juin 2012, quand l'autorité de la chose jugée, qui était, irrévocablement, attachée à l'ordonnance du 2 février 2015, par laquelle le juge-commissaire de la procédure de liquidation judiciaire de la SCI Xamaline avait admis les créances de la banque, résultant des prêts en date du 27 mars 2007 et du 24 avril 2007, telles qu'elles avaient été reconnues par le jugement du tribunal de grande instance de Châteauroux en date du 29 juin 2010 et par l'arrêt de la cour d'appel de Bourges en date du 24 mars 2011, au passif de la procédure de liquidation judiciaire de la SCI Xamaline, avait pour conséquence que ces créances étaient définitivement consacrées, dans leur existence et dans leur montant, à l'égard des consorts J... et que la tierce-opposition formée par ces derniers était irrecevable, la cour d'appel a violé les dispositions de l'article 1351 du code civil, dans leur rédaction antérieure à l'ordonnance du 10 février 2016, qui ont été reprises par les dispositions de l'article 1355 du code civil, les dispositions de l'article 1857 du code civil et les dispositions de l'article R. 624-8 du code de commerce.	0	0	0
reconnues seules constitutives des	que l'ensemble de ces constatations mettant en évidence le rôle central et moteur de M. [V] dans la négociation et la signature de contrats d'armement avec l'Arabie Saoudite et le Pakistan dans l'intérêt de la France, en sa qualité de ministre de la Défense, ne caractérisent en rien un quelconque acte de complicité à l'égard des modifications unilatérales des modalités de versement des commissions, reconnues seules constitutives des délits d'abus de biens sociaux prétendument commis par MM. [T] et [E] au préjudice de la SOFRESA et de la DCN-I ;	0	0	0
reconnues seules constitutives des	que l'ensemble de ces constatations mettant en évidence le rôle central et moteur de M. [V] dans la négociation et la signature de contrats d'armement avec l'Arabie Saoudite et le Pakistan dans l'intérêt de la France, en sa qualité de ministre de la Défense, ne caractérisent en rien un quelconque acte de complicité à l'égard des modifications unilatérales des modalités de versement des commissions, reconnues seules constitutives des délits d'abus de biens sociaux prétendument commis par MM. [T] et [E] au préjudice de la Sofresa et de la Dcn-I ;	0	0	0
saurait qu'	AUX MOTIFS QUE le droit à immunité, instauré par l'article 41 de la loi du 29 juillet 1881, est un droit exceptionnel qui ne saurait qu'être interprété restrictivement et ne peut être étendu en dehors des prévisions de ce texte et les délimitations apportées au champ d'application de cette immunité ne sont pas contraires à la liberté d'expression garantie par l'article 10 paragraphe 2 de la Convention européenne des droits de l'homme puisqu'en son second paragraphe ce même article Page 5 / 8 autorise lui-même au contraire que des restrictions puissent être apportées à l'exercice de cette liberté lorsqu'elles constituent des mesures nécessaires notamment à la protection de la réputation ou des droits d'autrui ;	0	0	0
saurait s'exercer que	, les préjudices subis par la victime dans sa vie professionnelle en conséquence de l'accident, c'est-à-dire ses pertes de gains professionnels et l'incidence professionnelle de l'incapacité et que dès lors, le recours exercé par une caisse de sécurité sociale au titre d'une telle rente ne saurait s'exercer que sur ces deux postes de préjudice et non sur un poste de préjudice personnel (CE, section, avis, 8 mars 2013, n° 361273, publié au Recueil Lebon ;	0	0	0
saurait s'exercer que	, les préjudices subis par la victime dans sa vie professionnelle en conséquence de l'accident, c'est-à-dire ses pertes de gains professionnels et l'incidence professionnelle de l'incapacité, et que dès lors le recours exercé par une caisse de sécurité sociale au titre d'une telle rente ne saurait s'exercer que sur ces deux postes de préjudice et non sur un poste de préjudice personnel (CE, section, avis, 8 mars 2013, n° 361273, publié au Recueil Lebon ;	0	0	0
saurait sérieusement prospérer alors même qu'	que si la Snc Friedland Invest A2 conteste ce chef de demande, en arguant que sa signature a été faite à son propre détriment, son argumentation ne saurait sérieusement prospérer alors même qu'aucun loyer n'était impayé au jour de la signature dudit avenant, et qu'en conséquence, aucune indemnité de résiliation n'aurait été due sans la souscription de cet avenant ;	0	0	0
saurait, ainsi que	L'argument selon lequel l'intimé connaissait l'existence de l'appel au travers d'écrits signifiés le 23-02-2018 dans le cadre d'une autre procédure devant une autre juridiction ne saurait, ainsi que l'a justement retenu le conseiller de la mise en état, pallier l'absence de diligences régulières dans la présente procédure.	0	0	0
savons industriels qu'	1. Selon l'arrêt attaqué (Paris, 2 avril 2021), la société SH2, devenue SH2 HEM, propriétaire d'un groupe d'immeubles, a vendu le fonds de commerce de fabrication de peintures et de savons industriels qu'elle exploitait sur le site, l'activité, qui relevait de la législation des installations classées pour la protection de l'environnement, étant transférée dans l'usine de l'acquéreur située sur un autre site.	0	0	0
