ana;sentence
0;En se bornant ainsi, d'une part, à relever l'existence d'éléments justifiant le contrôle judiciaire en raison des nécessités de l'instruction et à titre de mesure de sûreté, et, d'autre part, à insister sur la justification des mesures prononcées, sans s'assurer de l'existence d'indices graves ou concordants de la participation de M. [M] aux faits, la chambre de l'instruction a méconnu les textes susvisés et les principes ci-dessus rappelés.
0;"qu'en l'espèce, il ressort de l'arrêt attaqué que l'avocat général a eu la parole après Maître Ermeneaux, substituant Maître Lahaie, avocat de M. [K] [C], lequel n'a pas eu la parole en dernier ;"
0;Par arrêt du 30 juin 2021, la chambre de l'instruction de la cour d'appel de Paris a constaté que certains des mandats d'arrêt européens étaient devenus sans objet, refusé la remise au titre d'autres mandats, et a ordonné la remise de M. [E] à l'autorité judiciaire italienne au titre du seul mandat d'arrêt européen émis à son encontre le 20 novembre 2020 aux fins d'exécution de la peine de trois ans et trois mois d'emprisonnement prononcée le 11 novembre 2019 par le tribunal de Pescara.
0;"Le premier moyen du mémoire ampliatif critique l'arrêt attaqué en ce qu'il a ordonné sa remise à l'autorité judiciaire italienne au titre du mandat d'arrêt européen émis à son encontre le 20 novembre 2020 aux fins d'exécution d'une peine privative de liberté résultant d'un jugement rendu le 11 novembre 2019 par le tribunal de Pescara « devenu irrévocable le 26 février 2020, alors « que la remise doit être refusée lorsqu'elle est demandée aux fins de l'exécution d'une peine prononcée par un jugement réputé irrévocable, à l'issue d'un procès auquel l'intéressé n'a ni comparu ni été représenté par un avocat auquel il avait personnellement donné mandat ;"
0;qu'en statuant de la sorte quand le mandat d'arrêt européen, d'une part, se bornait à cocher la formule-type de la case 3.2, empreinte d'équivoque, selon laquelle « l'intéressé a donné mandat à un conseil juridique, qui a été désigné, soit par l'intéressé soit par l'Etat, pour le défendre (?) il n'a pas comparu en personne au procès, il a été assisté d'un défenseur commis d'office », d'autre part, s'abstenait, contrairement à l'invitation faite au paragraphe 4, la case 3.2 ayant été cochée, de « préciser comment la condition concernée a été remplie », la chambre de l'instruction, qui ne pouvait se fonder sur ces seules énonciations, a violé les articles 593 et 695-22-1 du code de procédure pénale, ensemble l'article 6 de la Convention européenne des droits de l'homme. »
0;En se déterminant ainsi, la chambre de l'instruction, qui ne pouvait se fonder sur les seules formules types du mandat d'arrêt européen, alors qu'il résulte des pièces de la procédure, dont la Cour de cassation a le contrôle, que l'autorité d'émission n'a pas précisé les conditions dans lesquelles l'information préalable relative à la date, au lieu du procès et à la représentation par un avocat avait été délivrée, n'a pas justifié sa décision.
0;La personne remise peut être poursuivie et condamnée pour une telle infraction avant que ce consentement ait été obtenu, pour autant qu'aucune mesure restrictive de liberté n'est appliquée au cours de la phase de poursuite ou de jugement relative à cette infraction.
0;L'exception visée à cet article 27, § 3, c) ne s'oppose toutefois pas à ce que la personne remise soit soumise à une mesure restrictive de liberté avant que le consentement soit obtenu, dès lors que cette mesure est légalement justifiée par d'autres chefs d'accusation figurant dans le mandat d'arrêt européen (CJUE, arrêt du 1er décembre 2008, Artur Leymann, C-388/08).
0;En vertu du deuxième, lorsque le ministère public qui a émis le mandat d'arrêt européen a obtenu la remise de la personne recherchée, celle-ci ne peut être poursuivie, condamnée ou détenue en vue de l'exécution d'une peine privative de liberté pour un fait quelconque antérieur à la remise et autre que celui qui a motivé cette mesure, sauf dans l'un des cas énumérés audit article.
0;qu'en statuant ainsi, lorsqu'il s'inférait de ses propres constatations que la société SFR n'avait pas entendu contracter avec M. H..., pris en sa qualité de personne physique, mais uniquement avec la société Electronique occitane représentée par son gérant M. H..., la cour d'appel, qui n'a pas tiré les conséquences légales de ses propres constatations, a violé l'article 1110 du code civil dans sa rédaction applicable à la cause. »
0;Lorsqu'un fournisseur a conclu avec une personne morale un contrat pour la distribution de ses produits et que le statut de gérant de succursale est reconnu au dirigeant de cette personne, le fournisseur, condamné à payer à ce dernier les sommes qui lui étaient dues en application de ce statut d'ordre public, auquel il ne peut être porté atteinte, même indirectement, n'est pas admis à réclamer à la personne morale, fût-ce pour partie, le reversement des sommes ayant rémunéré les prestations qu'elle a effectuées en exécution du contrat de distribution.
0;qu'en retenant que « si Occitane avait exécuté l'ensemble des obligations qui lui revenaient, les hautes juridictions n'auraient pas reconnu à son gérant le statut de gérant de succursale et n'auraient pas condamné SFR », quand la seule faute qui lui était reprochée par la société SFR était d'avoir confié à M. H..., son gérant, l'exécution des prestations mises à sa charge par les contrats de distribution conclus par les parties, la cour d'appel, qui n'a pas caractérisé l'existence d'une faute imputable à l'exposante, a privé sa décision de base légale au regard de l'article 1147 du code civil, dans sa version antérieure à l'ordonnance n° 2016-131 du 10 février 2016.
0;"que l'article 1110 ancien du code civil, applicable aux contrats dont il est question, dispose que l'erreur ""n'est point une cause de nullité lorsqu'elle ne tombe que sur la personne avec laquelle on a l'intention de contracter, à moins que la considération de cette personne ne soit la cause principale de la convention"" ;"
0;"qu'il y a lieu de confirmer le jugement sur ce point » ; ET AUX MOTIFS EVENTUELLEMENT ADOPTES QUE : « Occitane était le seul contractant de SFR, comme le démontre clairement le contrat distributeur signé entre SFR et la société Electronique Occitane ""représentée par son gérant M. H... en qualité de gérant, ci-après dénommé le distributeur"" ;"
0;"que la qualité de personne morale est essentielle lorsqu'une partie a eu intention de contracter avec une société en raison de sa réputation et de son expérience;"
0;"à titre d'indemnité pour licenciement sans cause réelle et sérieuse. *9 393,27 euros à titre d'indemnité conventionnelle de licenciement, - au titre des charges sociales patronales supportées par elle dans le cadre de l'exécution des arrêts de la cour d'appel de Paris et de la Cour de cassation, 16 7.01,43 euros, qu'elle explique que sa condamnation à payer des salaires à M. E... H... pour réaliser les prestations qu'elle a payées en vertu des contrats de distribution, a pour conséquence de permettre à M. E... H... d'avoir perçu un double salaire pour une seule et même prestation, la société Electronique Occitane lui ayant versé des salaires au titre de ces prestations ;"
0;"qu'en l'espèce, la cour d'appel a statué au visa des conclusions signifiées par la société Suez le 29 mars 2017, alors que celle-ci avait produit et signifié des conclusions récapitulatives datées du 19 juillet 2018, lesquelles complétaient son argumentation, contenaient de nouveaux moyens et répondaient aux précédentes écritures déposées par la société MP associés ;"
0;S'il est constant que la société SD3A TP a, plusieurs années durant, facturé ses prestations sans faire application de la revalorisation, cette seule circonstance ne suffit pas à caractériser de manière dépourvue d'équivoque sa renonciation au bénéfice de la clause contractuelle de révision.
0;Force est en définitive de constater qu'aucun des éléments versés aux débats ne permet de démontrer de manière dépourvue de toute ambiguïté que la société SD3A TP a accepté de renoncer définitivement à la perception des sommes correspondant à la revalorisation des prix des prestations qu'elle a effectuées pour le compte de la société Lyonnaise des Eaux France.
0;"qu'en l'espèce, la Cour d'appel a statué au visa des conclusions signifiées par la société Suez Eau France le 29 mars 2017, alors que celle-ci avait produit et signifié des conclusions récapitulatives datées du 19 juillet 2018, lesquelles complétaient son argumentation, contenaient de nouveaux moyens et répondaient aux précédentes écritures déposées par la société MP Associés ;"
0;S'il est constant que la société SD3A TP a, plusieurs années durant, facturé ses prestations sans faire application de la revalorisation, cette seule circonstance ne suffit pas à caractériser de manière dépourvue d'équivoque sa renonciation au bénéfice de la clause contractuelle de révision.
0;Force est en définitive de constater qu'aucun des éléments versés aux débats ne permet de démontrer de manière dépourvue de toute ambiguïté que la société SD3A TP a accepté de renoncer définitivement à la perception des sommes correspondant à la revalorisation des prix des prestations qu'elle a effectuées pour le compte de la société Lyonnaise des Eaux France.
0;"qu'en s'abstenant toutefois de rechercher si cette preuve ne résultait pas en outre de l'absence de production aux débats de la moindre facture indiquant que les sommes facturées l'étaient à titre simplement provisionnel, du fait qu'aucune facture de régularisation n'avait été émise au cours de cette même période, ou encore de l'absence de production aux débats de la moindre pièce évoquant un quelconque « report » de la facturation du « solde de prix » correspondant à l'application des clauses d'actualisation litigieuses, la Cour d'appel a privé sa décision de base légale au regard au regard des articles 1382 et 1103 du code civil (anciennement les articles 1353 et 1134 du même code) ;"
0;"ALORS en outre QUE les registres et documents que les professionnels doivent tenir ou établir ont, contre leur auteur, la même force probante que les écrits sous signature privée ; qu'en relevant que l'absence de comptabilisation, par la société SD3A TP, d'une créance correspondant au « solde de prix » qui lui serait dû au titre des prestations facturées depuis 2009 s'expliquait par le fait que ces sommes n'avaient pas été facturées et que, dans ces conditions, il ne pouvait être déduit de l'absence de comptabilisation de ces sommes une preuve que les parties s'étaient accordées pour ne pas appliquer les formules de prix et d'actualisation contractuelles, sans rechercher, comme elle y était invitée, si le plan comptable général ne comporte pas une ligne 418 dont l'objet connu de tous les professionnels est de comptabiliser les produits restant à facturer, et si, dans ces conditions, le fait que la société SD3A TP n'avait comptabilisé aucune créance correspondant à la différence entre les prix qu'elle avait facturés et ceux qui auraient résulté de l'application des formules contractuelles ne démontrait pas, en sus des autres éléments invoqués, que la société SD3A TP avait elle-même considéré qu'aucune somme ne lui était due à ce titre, la Cour d'appel a privé sa décision de base légale au regard des articles L. 123-23 du code de commerce et 1382 du code civil, ensemble l'article 1378 du code civil (anciennement les articles 1353 et 1330 du même code) ;"
0;ALORS enfin QU' en se fondant, pour écarter l'accord commercial allégué, sur le fait que la société Suez Eau France n' « explicit[ait] pas en quoi la société SD3A TP aurait eu un intérêt économique à renoncer à la perception d'une somme qui lui était contractuellement due », quand la société Suez Eau France expliquait dans ses dernières conclusions du 19 juillet 2018 que le geste commercial de la société SD3A TP avait trouvé une contrepartie dans l'octroi de nouveaux marchés, portant notamment sur une partie des travaux de dévoiement des réseaux, et dans le chiffre d'affaires correspondant (v. ses dernières conclusions, p.7), la Cour d'appel a dénaturé les dernières conclusions d'appel de la société Suez Eau France et violé le principe selon lequel le juge ne peut dénaturer les conclusions qui lui sont soumises.
0;Situation qui était ensuite reprise par [...] qui émettait les factures correspondantes au titre de l'autofacturation.
0;Les sommes facturées chaque mois par Armat France ne sont donc pas des « créances distinctes nées d'accords indépendants les uns des autres », mais des créances résultant d'un seul et même contrat à exécution successive générant des créances à exécution successive de sorte que la saisie attribution portant sur ce marché, contrat unique à exécution successive au fur et à mesure de l'exécution des travaux jusqu'à éventuelle fin du chantier ou résiliation du contrat, était elle même à exécution successive, conformément à l'article 1111-1 du Code civil qui dispose: « Le contrat à exécution instantanée est celui dont les obligations peuvent s'exécuter en une prestation unique.
0;En tout état de cause, la distinction contrat-cadre ou contrat à exécution successive présente en l'occurrence peu d'intérêt dans la mesure où les saisies attributions portent sur les prestations effectuées par Armat au 15 octobre 2015 puis au 24 novembre 2015, même si elles ne sont pas encore liquidées.
0;La notification auprès de [...] par Bnp Paribas Factor est conforme aux dispositions de l'article R 313-16 du Code Monétaire et Financier, lesquelles disposent : « Lorsque la créance est cédée en vertu d'un contrat d'affacturage, la société d'affacturage doit, dans le cadre de la notification au débiteur cédé de cette cession de créance, en application des articles L 313-23 à L 313-35, faire figurer sur la facture afférente à la créance qui lui a été cédée, les mentions obligatoires suivantes : 1º
0;La créance d'Armat France sur l'opération [...] ayant été cédée dès le 19 juin 2015 à la Banque du bâtiment et des Travaux publics à hauteur de la somme de 229.937 €, celle sur l'opération Suresnes ayant été cédée dès le 26 août 2015 à Bnp Paribas Factor à hauteur du montant total du marché, et celle sur l'opération [...] ayant été cédée dès le 23 septembre 2015 à Bnp Paribas Factor à hauteur du montant total du marché, soit 333.316,16 € HT, étaient sorties du patrimoine d'Armat Franc la saisie attribution du 15 octobre 2015, qui n'a pu les appréhender, [...] ne restant plus rien devoir à Armat France au titre de ces factures.
0;"En ce qui concerne les créances relatives au marché « [...] », la date de leur cession à BNP Paribas Factor n'est pas connue, mais il est certain que cette cession était déjà intervenue lorsqu'elle a été notifiée à la société [...] le 22 octobre 2015 (jugement p. 12) ;"
0;"ALORS, d'autre part, QUE le juge ne peut dénaturer le sens de la convention conclue par les parties ;"
0;"ALORS, enfin, QUE dans ses conclusions d'appel (signifiées le 17 septembre 2018, p. 24 al. 9), la société SAS faisait valoir qu'il ne pouvait être retenu que la société BNP Paribas Factor avait la qualité de cessionnaire Dailly, alors que celle-ci ne revendiquait pas cette qualité ;"
0;, après avoir retenu que la seconde avait manqué à son obligation de mise en garde, l'arrêt retient, pour quantifier le préjudice, que les primes d'assurance ne sont pas en lien direct avec les fautes retenues, ces primes ayant pour objet de couvrir un aléa qui existe toujours puisque le prêt n'est pas annulé mais fait seulement l'objet d'un plan de redressement.
0;qu'en énonçant, dès lors, pour déclarer les consorts J... recevables en leur tierce-opposition à l'encontre de l'arrêt de la cour d'appel de Bourges en date du 24 mars 2011 et pour, en conséquence, réformer, à l'égard des consorts J..., le jugement du tribunal de grande instance de Châteauroux en date du 29 juin 2010, dire que les contrats de prêt souscrits par la SCI Xamaline auprès de la société Caisse régionale de crédit agricole mutuel du Languedoc, les 27 mars 2007 et 24 avril 2007 étaient nuls pour non-conformité à l'objet social et débouter la banque de toutes ses demandes en paiement fondées sur ces deux contrats de prêt, que c'était en vain que la société Caisse régionale de crédit agricole mutuel du Languedoc prétendait qu'à défaut pour les consorts J... d'avoir exercé un recours à l'encontre de l'état des créances de la procédure de liquidation judiciaire de la SCI Xamaline dans le délai d'un mois à compter de sa publication au BODACC le 28 février 2015, les créances en litige avaient acquis l'autorité de la chose jugée à l'égard de tous et que les consorts J... étaient irrecevables à former toute nouvelle contestation portant sur l'existence, la nature ou le quantum des créances ainsi admises définitivement, qu'en effet, l'admission définitive des créances de la banque, dans le cadre et pour les besoins de la liquidation judiciaire de la SCI Xamaline, n'interdisait nullement aux associés, qui n'étaient ni plus ni moins parties à cette procédure collective qu'à l'instance précédente devant la cour d'appel de Bourges, d'exercer devant un juge le recours effectif reconnu par l'article 6, §1, de la Convention européenne de sauvegarde des droits de l'homme et des libertés fondamentales et qu'au demeurant, l'examen du bordereau de déclaration de créances montrait que la banque n'avait pas déclaré d'autre créance que celles résultant précisément du jugement du tribunal de grande instance de Châteauroux en date du 29 juin 2010, confirmé par l'arrêt de la cour d'appel de Bourges en date du 24 mars 2011, qui était déjà définitive à la suite du rejet du pourvoi en cassation formé contre cet arrêt le 28 juin 2012, quand l'autorité de la chose jugée, qui était, irrévocablement, attachée à l'ordonnance du 2 février 2015, par laquelle le juge-commissaire de la procédure de liquidation judiciaire de la SCI Xamaline avait admis les créances de la banque, résultant des prêts en date du 27 mars 2007 et du 24 avril 2007, telles qu'elles avaient été reconnues par le jugement du tribunal de grande instance de Châteauroux en date du 29 juin 2010 et par l'arrêt de la cour d'appel de Bourges en date du 24 mars 2011, au passif de la procédure de liquidation judiciaire de la SCI Xamaline, avait pour conséquence que ces créances étaient définitivement consacrées, dans leur existence et dans leur montant, à l'égard des consorts J... et que la tierce-opposition formée par ces derniers était irrecevable, la cour d'appel a violé les dispositions de l'article 1351 du code civil, dans leur rédaction antérieure à l'ordonnance du 10 février 2016, qui ont été reprises par les dispositions de l'article 1355 du code civil, les dispositions de l'article 1857 du code civil et les dispositions de l'article R. 624-8 du code de commerce. »
0;Pour déclarer recevable la tierce-opposition formée par les consorts J..., l'arrêt retient que c'est en vain que la banque prétend qu'à défaut pour ceux-ci d'avoir exercé un recours contre l'état des créances dans le délai d'un mois à compter de sa publication au BODACC le 28 février 2015, la créance en litige a acquis l'autorité de la chose jugée à l'égard de tous, de sorte qu'ils seraient irrecevables à former toute nouvelle contestation portant sur l'existence, la nature ou le quantum de la créance ainsi admise définitivement, dès lors que l'admission définitive de la créance de la banque, dans le cadre et pour les besoins de la liquidation judiciaire de la SCI, n'interdisait nullement aux associés, qui n'étaient ni plus ni moins parties à cette procédure collective qu'à l'instance précédente devant cette cour, d'exercer devant un juge le recours effectif reconnu par le texte précité, qu'au demeurant l'examen du bordereau de déclaration de créance montre que la banque n'a pas déclaré d'autre créance que celle résultant précisément de l'arrêt du 24 mars 2011, qui était déjà définitive suite au rejet, le 28 juin 2012, du pourvoi formé contre cet arrêt et qu'ainsi les consorts J..., qui ont un intérêt manifeste à voir rétracter le jugement dès lors qu'ils sont poursuivis en paiement par la banque pour répondre des dettes sociales de la SCI à proportion de leurs parts dans le capital social, doivent être déclarés recevables en leur tierce- opposition.
0;"AUX MOTIFS QUE « sur la recevabilité de la tierce opposition : / selon l'article 583 du code de procédure civile, "" est recevable à former tierce opposition toute personne qui y a intérêt, à la condition qu'elle n'ait été ni partie ni représentée au jugement qu'elle attaque."
0;"/ En l'espèce, la précédente instance introduite par la Crcam du Languedoc devant le tribunal de grande instance de Châteauroux et poursuivie devant la cour d'appel de Bourges, ayant donné lieu à l'arrêt en date du 24 mars 2011 qui a condamné la Sci Xamaline, représentée par M. K... J..., son gérant en exercice, au paiement de diverses sommes ;"
0;/ La Crcam du Languedoc ne peut soutenir que les associés, qui étaient censés avoir autorisé la Sci à demander que soit reconnue la responsabilité de la banque en raison des fautes commises par son préposé, étaient nécessairement représentés à cette précédente instance ou à celle engagée devant le tribunal de grande instance de Nîmes, alors que les statuts de la société prévoient expressément que le gérant, dans ses rapports avec les associés, a le pouvoir de représenter la société en justice et d'exercer toutes actions tant en demande qu'en défense, ce qui implique qu'il n'était pas tenu de solliciter une autorisation spéciale des associés.
0;/ C'est également en vain que la Crcam du Languedoc prétend qu'à défaut par Mme M... J... et M. R... J... d'avoir exercé un recours à l'encontre de l'état des créances dans le délai d'un mois à compter de sa publication au Bodaac le 28 février 2015, la créance en litige a acquis l'autorité de la chose jugée à l'égard de tous, de sorte qu'ils seraient irrecevables à former toute nouvelle contestation portant sur l'existence, la nature et le quantum de la créance ainsi admise définitivement.
0;En effet, l'admission définitive de la créance de la Crcam du Languedoc, dans le cadre et pour les besoins de la liquidation judiciaire de la Sci Xamaline, n'interdit nullement aux associés, qui n'étaient ni plus ni moins parties à cette procédure collective qu'à l'instance précédente devant cette cour, d'exercer devant un juge le recours effectif reconnu par le texte précité.
0;Ainsi, Mme M... J... et M. R... J..., qui ont un intérêt manifeste à voir rétracter le jugement dès lors qu'ils sont poursuivis devant le tribunal de grande instance de Châteauroux, suivant assignation délivrée le 28 juillet 2017 par la Crcam du Languedoc, pour répondre des dettes sociales de la Sci Xamaline à proportion de leur part dans le capital social, doivent être déclarés recevables en leur tierce opposition.
0;/ En l'occurrence, il n'est pas démontré que Mme M... J... et M. R... J..., qui n'ont pas participé eux-mêmes à la conclusion les 27 mars et 24 avril 2007 des prêts souscrits par la Sci Xamaline dont ils sollicitent l'annulation, en ont eu immédiatement connaissance, laquelle ne saurait résulter du simple fait qu'ils étaient associés de ladite société.
0;/ Cependant, les dispositions de l'article 1849 du code civil, selon lesquelles, dans les rapports avec les tiers, le gérant engage la société par des actes entrant dans l'objet social, n'ont pas pour seule vocation de protéger la société mais bénéficient également aux associés qui sont tenus indéfiniment des dettes à proportion de leur participation au capital social, de sorte que l'action de Mme M... J... et de M. R... J... est parfaitement recevable.
0;/ En premier lieu, la cour observe, à la lecture des statuts de la Sci Xamaline, que cette société a pour objet l'acquisition de tous biens immobiliers, leur administration et leur exploitation par bail, location ou autre, leur mise en valeur par l'exécution de tous travaux et l'édification de toutes constructions et, généralement, toutes opérations mobilières ou immobilières pouvant se rattacher directement ou indirectement à l'objet social, pourvu qu'elles ne modifient pas le caractère civil de la société.
0;"ces deux factures portent une mention manuscrite "" bon pour accord de paiement "" ou "" bon pour déblocage "" émanant pour l'une du gérant de la Sci Xamaline et pour l'autre d'un auteur non identifiable ; - dans le cadre de l'instruction des demandes de prêt, la Sci Xamaline a produit un devis particulièrement sommaire du 4 mars 2007 établi par une société Fimaco basée à Villeneuve-les-Avignon pour des travaux de réhabilitation de son immeuble de 144 mètres carrés d'un montant de 220 064 euros ;"
0;Ainsi, les devis et factures étaient trop sommaires pour constituer le fondement ou la consécration d'engagements contractuels réels, les entreprises choisies ne pouvaient raisonnablement exécuter leurs prestations au regard de la distance géographique séparant leur siège du lieu de situation de l'immeuble et le montant même des prêts consentis était sans commune mesure avec la valeur du bien avant travaux et ne pouvait lui conférer une plus-value équivalente ou même sensiblement équivalente, d'autant qu'une somme de 39 900 euros était utilisée à la seule fin de rémunérer le prescripteur Ict, toutes choses que M. C... F..., préposé de la Crcam du Languedoc, qui était en rapport d'affaires habituel avec cet intermédiaire et connaissait ses pratiques, ne pouvait ignorer.
0;Les dossiers de prêt ont par ailleurs été montés avec la plus grande légèreté, sans aucune vérification de la valeur de l'immeuble ou encore de la solvabilité de l'emprunteur, alors qu'au surplus ce dernier n'avait aucune attaché dans la région et n'est devenu client du crédit agricole que pour les besoins de cette opération de financement de travaux immobiliers dont le coût particulièrement onéreux, lié à l'intervention d'Ict, ne peut s'expliquer que par son caractère frauduleux.
